word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,double_log_freq,participation_score
activity,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,-0.0287333333333333,8,1,activity,0.0011935548040580863,0.5989937658314455,0.06666666666666667
d,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0.0,1,1,d,0.0011935548040580863,0.5989937658314455,0.06666666666666667
therapeutics,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0.0,12,1,therapeutics,0.0011935548040580863,0.5989937658314455,0.06666666666666667
function,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0.0702499999999999,8,1,function,0.0011935548040580863,0.5989937658314455,0.13333333333333333
no,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,12,12,-0.2435249999999999,2,1,no,0.0011935548040580863,0.5989937658314455,0.2
including,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0.0,9,1,including,0.0010940919037199124,0.5934578873666095,0.06666666666666667
city,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,-0.0248363636363636,4,1,city,0.0010940919037199124,0.5934578873666095,0.06666666666666667
was,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,11,0.0345181818181818,3,1,was,0.0010940919037199124,0.5934578873666095,0.13333333333333333
more,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,11,9,0.0309999999999999,4,1,more,0.0010940919037199124,0.5934578873666095,0.2
drug,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0.0337272727272727,4,1,drug,0.0010940919037199124,0.5934578873666095,0.13333333333333333
challenges,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0.1392636363636363,10,1,challenges,0.0010940919037199124,0.5934578873666095,0.13333333333333333
proteins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0.0184363636363636,8,1,proteins,0.0010940919037199124,0.5934578873666095,0.0
components,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0.0669454545454545,10,1,components,0.0010940919037199124,0.5934578873666095,0.06666666666666667
syndrome,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0.0,8,1,syndrome,0.0010940919037199124,0.5934578873666095,0.06666666666666667
from,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,11,-0.1313545454545454,4,1,from,0.0010940919037199124,0.5934578873666095,0.06666666666666667
cient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0.08992,5,1,cient,0.0009946290033817386,0.5871908758202614,0.0
multiple,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,10,-0.0295999999999999,8,1,multiple,0.0009946290033817386,0.5871908758202614,0.13333333333333333
annu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0.0,4,1,annu,0.0009946290033817386,0.5871908758202614,0.0
monogenic,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0.04767,9,1,monogenic,0.0009946290033817386,0.5871908758202614,0.13333333333333333
yes,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,10,0.4019,3,1,yes,0.0009946290033817386,0.5871908758202614,0.13333333333333333
ing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,-0.0063599999999999,3,1,ing,0.0009946290033817386,0.5871908758202614,0.06666666666666667
guided,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0.0,6,1,guided,0.0009946290033817386,0.5871908758202614,0.13333333333333333
based,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0.03182,5,1,based,0.0009946290033817386,0.5871908758202614,0.13333333333333333
