word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word
took,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,48,47,0.02251041666666666,4,1,took
began,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,-0.04380212765957446,5,1,began
are,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,46,45,0.0039739130434782634,3,1,are
even,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,46,44,0.018667391304347827,4,1,even
day,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,44,0.02163333333333333,3,1,day
told,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0.02870888888888889,4,1,told
off,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45,45,-0.023328888888888885,3,1,off
light,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,45,45,-0.01585111111111112,5,1,light
young,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0.09982000000000002,5,1,young
sport,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0.12433999999999999,5,1,sport
last,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,45,45,0.07530444444444445,4,1,last
how,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,45,44,0.08748444444444445,3,1,how
why,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44,41,0.05611590909090909,3,1,why
heard,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,44,44,-0.046609090909090906,5,1,heard
thing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,0.018262790697674416,5,1,thing
men,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,42,0.03717906976744186,3,1,men
asked,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,0.05963255813953489,5,1,asked
until,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,43,42,-0.018176744186046506,5,1,until
name,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0.018273809523809526,4,1,name
because,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,41,41,0.01764634146341464,7,1,because
oh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,40,0.046246341463414636,2,1,oh
afternoon,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,41,-0.022309756097560973,9,1,afternoon
hour,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,39,0.031670000000000004,4,1,hour
left,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,40,40,-0.0039874999999999945,4,1,left
its,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40,39,0.043272500000000005,3,1,its
head,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,40,-0.041847499999999996,4,1,head
baker,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,-0.024787179487179484,5,1,baker
wasn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,38,0.029010256410256403,4,1,wasn
say,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,39,39,-0.04460769230769231,3,1,say
seemed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,0.06274102564102566,6,1,seemed
years,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,0.016184615384615388,5,1,years
three,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38,38,0.01023947368421053,5,1,three
once,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,38,38,0.05093947368421053,4,1,once
suddenly,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38,38,0.005068421052631581,8,1,suddenly
much,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,38,37,0.07776315789473684,4,1,much
every,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,38,38,0.048494736842105264,5,1,every
west,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,38,38,-0.023976315789473686,4,1,west
miss,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,-0.1138921052631579,4,1,miss
let,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,-0.015821052631578948,3,1,let
hands,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,-0.018394736842105262,5,1,hands
next,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,36,36,0.09788333333333334,4,1,next
five,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36,36,0.022919444444444447,4,1,five
found,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,36,36,0.07118055555555555,5,1,found
another,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,36,36,-0.017769444444444442,7,1,another
table,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0.04568285714285714,5,1,table
york,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0.031894285714285715,4,1,york
tell,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,-0.004311428571428577,4,1,tell
minute,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35,34,0.07724285714285715,6,1,minute
nothing,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,35,33,-0.002751428571428573,7,1,nothing
egg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,-0.014047058823529409,3,1,egg
o,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,33,0.057249999999999995,1,1,o
along,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34,34,-0.01857941176470588,5,1,along
though,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,34,33,-0.05237941176470589,6,1,though
than,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34,34,0.14669411764705884,4,1,than
always,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34,34,0.1252941176470588,6,1,always
each,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,33,31,0.0541060606060606,4,1,each
alone,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,33,33,-0.13755757575757574,5,1,alone
looking,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0.07902121212121213,7,1,looking
world,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0.12149999999999997,5,1,world
against,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32,32,0.008784374999999999,7,1,against
sat,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,-0.06790937500000001,3,1,sat
upon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,31,0.06629375,4,1,upon
front,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,32,32,-0.007784375,5,1,front
clock,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.040725,5,1,clock
under,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,32,32,-0.019303124999999997,5,1,under
mrs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0.07504516129032258,3,1,mrs
still,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,31,31,0.045322580645161294,5,1,still
wolfsheim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,-0.026535483870967744,9,1,wolfsheim
own,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,30,0.1118516129032258,3,1,own
must,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,31,31,0.03527096774193548,4,1,must
small,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,31,30,0.006945161290322582,5,1,small
life,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0.03753666666666667,4,1,life
seen,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30,29,0.06481333333333333,4,1,seen
morning,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,30,-0.005900000000000001,7,1,morning
together,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,30,30,0.05000666666666666,8,1,together
most,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,30,29,0.13116000000000003,4,1,most
side,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30,28,-0.05611333333333333,4,1,side
sound,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,30,30,-0.04371333333333334,5,1,sound
good,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,30,29,0.29241000000000006,4,1,good
cried,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,28,-0.31947586206896555,5,1,cried
stood,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0.09072857142857141,5,1,stood
things,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0.07981785714285712,6,1,things
couldn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0.01277142857142857,6,1,couldn
take,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0.11691428571428572,4,1,take
himself,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,28,0.021728571428571437,7,1,himself
ever,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,28,0.19032500000000002,4,1,ever
called,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,28,27,0.011650000000000004,6,1,called
those,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,27,27,0.08422592592592591,5,1,those
moved,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0.011703703703703714,5,1,moved
garage,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,26,0.031144444444444443,6,1,garage
anything,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,27,27,-0.0749185185185185,8,1,anything
