word,pos,source_base
aquaplanes,verb,aquaplane
aquaplaning,verb,aquaplane
aquatint,verb,aquatint
aquatinted,verb,aquatint
aquatinting,verb,aquatint
aquatints,verb,aquatint
arbitrage,verb,arbitrage
arbitraged,verb,arbitrage
arbitrages,verb,arbitrage
arbitraging,verb,arbitrage
arborize,verb,arborize
arborized,verb,arborize
arborizes,verb,arborize
arborizing,verb,arborize
arch,verb,arch
archaize,verb,archaize
archaized,verb,archaize
archaizes,verb,archaize
archaizing,verb,archaize
arched,verb,arch
arches,verb,arch
arching,verb,arch
archive,verb,archive
archived,verb,archive
archives,verb,archive
archiving,verb,archive
argue,verb,argue
argued,verb,argue
argues,verb,argue
arguing,verb,argue
arise,verb,arise
arised,verb,arise
arises,verb,arise
arising,verb,arise
arm,verb,arm
armed,verb,arm
arming,verb,arm
armor,verb,armor
armorred,verb,armor
armorring,verb,armor
armors,verb,armor
arms,verb,arm
arouse,verb,arouse
aroused,verb,arouse
arouses,verb,arouse
arousing,verb,arouse
arraign,verb,arraign
arraigned,verb,arraign
arraigning,verb,arraign
arraigns,verb,arraign
arrange,verb,arrange
arranged,verb,arrange
arranges,verb,arrange
arranging,verb,arrange
arrive,verb,arrive
arrived,verb,arrive
arrives,verb,arrive
arriving,verb,arrive
arrogate,verb,arrogate
arrogated,verb,arrogate
arrogates,verb,arrogate
arrogating,verb,arrogate
arterialize,verb,arterialize
arterialized,verb,arterialize
arterializes,verb,arterialize
arterializing,verb,arterialize
article,verb,article
articled,verb,article
articles,verb,article
articling,verb,article
articulate,verb,articulate
articulated,verb,articulate
articulates,verb,articulate
articulating,verb,articulate
ascend,verb,ascend
ascended,verb,ascend
ascending,verb,ascend
ascends,verb,ascend
ascertain,verb,ascertain
ascertained,verb,ascertain
ascertaining,verb,ascertain
ascertains,verb,ascertain
ash,verb,ash
ashed,verb,ash
ashes,verb,ash
ashing,verb,ash
ask,verb,ask
ask for it,verb,ask for it
ask out,verb,ask out
asked,verb,ask
asking,verb,ask
asks,verb,ask
asphalt,verb,asphalt
asphalted,verb,asphalt
asphalting,verb,asphalt
asphalts,verb,asphalt
aspirate,verb,aspirate
aspirated,verb,aspirate
aspirates,verb,aspirate
aspirating,verb,aspirate
assail,verb,assail
assailed,verb,assail
assailing,verb,assail
assails,verb,assail
assassinate,verb,assassinate
assassinated,verb,assassinate
assassinates,verb,assassinate
assassinating,verb,assassinate
assay,verb,assay
assayed,verb,assay
assaying,verb,assay
assays,verb,assay
assemble,verb,assemble
assembled,verb,assemble
assembles,verb,assemble
assembling,verb,assemble
assent,verb,assent
assented,verb,assent
assenting,verb,assent
assents,verb,assent
assert,verb,assert
assert oneself,verb,assert oneself
asserted,verb,assert
asserting,verb,assert
asserts,verb,assert
assess,verb,assess
assessed,verb,assess
assesses,verb,assess
assessing,verb,assess
assibilate,verb,assibilate
assibilated,verb,assibilate
assibilates,verb,assibilate
assibilating,verb,assibilate
assign,verb,assign
assigned,verb,assign
assigning,verb,assign
assigns,verb,assign
assimilate,verb,assimilate
assimilated,verb,assimilate
assimilates,verb,assimilate
assimilating,verb,assimilate
assist,verb,assist
assisted,verb,assist
assisting,verb,assist
assists,verb,assist
associate,verb,associate
associated,verb,associate
associates,verb,associate
associating,verb,associate
assonate,verb,assonate
assonated,verb,assonate
assonates,verb,assonate
assonating,verb,assonate
assume,verb,assume
assumed,verb,assume
